Colling,Context,Components,Tag,labels
इक्षु-दण्डेन,एकेन एव इक्षु-दण्डेन तत् पात्रम् पुन: प्र-पूर्णम् जातम्,इक्षु-दण्डेन,T6,Tatpurusha
नव-विधः,तस्मात् सः प्रसन्नः भूत्वा सर्व-विध शिष्येभ्यः ददाति स्म,सर्व-विध,K1,Tatpurusha
स्वर्ण-पुरुषस्य,यदा शिरस्-भाग तः तस्à¥Ÿ स्वर्ण-पुरुषस्य कर्तनम् क्रियते तदा सः पुरुष: परिसमाप्यते,स्वर्ण-पुरुषस्य,Km,Tatpurusha
समुद्र-उपप्लुताः,समुद्र-उपप्लुताः तत्र लोकाः भूर्-आदिकाः मुने,समुद्र-उपप्लुताः,T3,Tatpurusha
प्रति-सन्ध्यम्,आ-दिवसम् गृह-कार्याणि सम्पादयन्ती कार्यालयात् उपावर्तमानम् पतिम् प्रति-सन्ध्यम् स-आकाङ्क्षम् प्रतीक्षते,प्रति-सन्ध्यम्,A1,Avyayibhava
न-कर्मणि,एतेन न-कर्मणि कर्मन्-दर्शनम् प्रति उक्तम्,न-कर्मणि,Tn,Tatpurusha
उप-नगरम्,उप-नगरम् प्राप्तम् राजन्-बलम्,उप-नगरम्,A1,Avyayibhava
निपुण-दर्शनम्,उभौ अपि मन्द-मन्दम् हसन्तौ तत्-स्थानात् न-दर्शनम् उपाजग्मतुः,न-दर्शनम्,Tn,Tatpurusha
महत्-राजः,उभौः-आः कस्य महत्-राजः,महत्-राजः,K1,Tatpurusha
न-पवित्रम्,स निर्-भयतया उक्तवान् एतत् ज्ञानं न न-पवित्रम्,न-पवित्रम्,Tn,Tatpurusha
वि-ज्ञातः,उभौ-न खलु वयं वि-ज्ञातारः,वि-ज्ञातारः,Tp,Tatpurusha
केसर-अरुणः,इति कथयन् केशर-वर्ण विशालम् ग्रन्थम् केशवप्रसाद: घूरेलालस्य मन्त्रिण: पुरतः,केशर-वर्ण,K1,Tatpurusha
न-कर्मणि,एव अधिकारः ते मा ते सङ्गः अस्तु न-कर्मणि इति कर्म एव कर्तव्यम् उक्तवान् योग-बुद्धिम्,न-कर्मणि,Tn,Tatpurusha
अरि-सङ्घाः,यस्य अर्थम् आहव-मुखेषु मया अरि-सङ्घाः,अरि-सङ्घाः,T6,Tatpurusha
विधि-योजितम्,इष्ट-वर्ण-गन्ध-रस-स्पर्शं विधि-विहितम् अन्न-पानं प्राणिनां प्राणि-संज्ञ कानां प्राणम् आचक्षते,विधि-विहितम्,T3,Tatpurusha
मरण-अन्तं,दशरथस्य मरण-अनन्तरं भरतः अयोध्याम् आगत्य तत्र जाताः वार्ताः,मरण-अनन्तरं,T6,Tatpurusha
विष-भोजनः,षड्त्रिंशतं सहस्राणि रात्रीणां हित-भोजनः,हित-भोजनः,Bs6,Bahuvrihi
वात-गुणाः,अत्र उवाच कुशः साङ्कृत्यायनः-रूक्ष-लघु-शीत-दारुण-खर-विशदाः षट् इमे वात-गुणाः भवन्ति,वात-गुणाः,T6,Tatpurusha
सिंह-आरूढः,सिंह-आरूढः यत् अत्र आगमिष्यति तदा तव प्रजाः,सिंह-आरूढः,T7,Tatpurusha
सु-निमित्तम्,यथा लौही-परिवर्तन-काल-सारा भूमिः स्नेह-उद्भावन-सुगन्धः इव गन्धः सु-निमित्तम् इव परिभ्रमन् वरिवस्यक-जनः किम् नु खलु,सु-निमित्तम्,Bs6,Bahuvrihi
तर्षः-छेदः,वेदान् पठन्तम् तम् श्रुत्वा वामनम् वर-दः अब्रवीत्,वर-दः,U,Tatpurusha
भावित-आत्मनाम्,उभयतः जीवताम् मृतानाम् च ब्रह्म-निर्वाणम् मोक्षः वर्तते विदित-आत्मनाम् विदितः ज्ञातः आत्मा येषाम् ते विदित-आत्मानः,विदित-आत्मनाम्,Bs6,Bahuvrihi
पक्व-कषायः,पञ्च कषाय-योनयः इति मधुर-कषायः अम्ल-कषायः कटु-कषायः तिक्त-कषायः कषाय-कषायः च इति तन्त्रे संज्ञा,कटु-कषायः,K1,Tatpurusha
प्र-वादिनः,परोक्षे कार्य-हन्तारम् प्रत्यक्षे प्रिय-वादिनम्,प्रिय-वादिनम्,U,Tatpurusha
सु-मेधसः,के न-विपश्चितः न-मेधसः न-विवेकिनः इत्यर्थः,न-मेधसः,Tn,Tatpurusha
युवन्-राजः,वेतालः एवम् कथाम् समाप्य अवदत् अये राजन् युवन्-राजः त्रि-वारम् सर्प-आघात तः रक्षितः जातः,युवन्-राजः,K1,Tatpurusha
गुडूची-भद्रमुस्तानां,यः धन-राशिः त्वया जल-प्लाव-पीडितानां साहाय्याय गृहीतः तं विपद्-ग्रस्तानां हित-अर्थे नियोजय अन्यथा ते कारा-दण्डं ददामि,विपद्-ग्रस्तानां,T3,Tatpurusha
परि-चारकः,परिवारः यस्मिन् ते अहम् शिशु: राजीव: एक: परि-चारकः च अस्ति किन्तु तदा मदीय: परिवार:,परि-चारकः,Tp,Tatpurusha
महत्-राजः,तद्-वचः श्रुत्वा एव महत्-राजः राजिका-प्रसङ्गे यथार्थां स्थितिम् अबोधत्,महत्-राजः,K1,Tatpurusha
रवि-रश्मिभि,अधस्तात् दूर्वा-दल-जालः च विकीर्ण-तुषार-बिन्दुभि: जटितमुक्ताहीरककान्तिम् दधानः दीव्यद्भी रवि-रश्मिभि: प्रसृत-कुथ: इव विराजते,रवि-रश्मिभि:,T6,Tatpurusha
मनस्-भावः,एषः मनस्-भावः तेषाम् जडत्वम् मनस्-वैकल्यम् च द्योतयति,मनस्-भावः,T6,Tatpurusha
स-क्रोधम्,नृ-पः स-क्रोधम् अवदत् कः असौ यः मां व्यग्रं,स-क्रोधम्,Tp,Tatpurusha
अल्प-दोषाणि,पृथ्वी-सोम-गुण-बहुलानि इतराणि तस्मात् स्वगुणात् अपि लघूनि अग्नि-सन्धुक्षण-स्वभावानि अल्प-दोषाणि च उच्यन्ते अपि सौहित्य उपयुक्तानि गुरूणि,अल्प-दोषाणि,Bs7,Bahuvrihi
महत्-राजः,छत्रसालं दृष्ट्वा महत्-राजः अवदत् आगच्छतु कुमार छत्रसाल अपि सुख-करः,महत्-राजः,K1,Tatpurusha
प्रति-एकम्,इति मया हेतुना अनेन अनुमितम् यत् तस्य प्रति-एकम् पत्रे-,प्रति-एकम्,A1,Avyayibhava
अनंत-मूर्धा,अयम् कदम्ब-वृक्ष: सद्योजात-कुसुम-स्तबकै: श्वेत-अंशुक-अवगुण्ठनेन आच्छादित-वदन-अम्बुजा नव-वधूः इव अनंत-मूर्धा स-अनुदेह-यष्टि: समन्तात् प्रसारित-सुरभित-समीरः तिष्ठति,अनंत-मूर्धा,K1,Tatpurusha
जाया-पती,एवम् अन्यः-अन्यः संदृष्ट-शौर्यौ तौ जाया-पती तम् अध्वानम् अतिक्रम्य टोडडा-ग्रामे सम्प्राप्तौ तत्र,जाया-पती,Di,Dvandva
निर्-भयम्,स्व-अभिमानि-बालः तात नाहं यवन-राजं वन्दितुम् इच्छामि इति निर्-भयम् उक्तवान्,निर्-भयम्,Bvp,Bahuvrihi
न-शेषतः,विहाय परित्यज्य कामान् यः संन्यासी पुमान् सर्वान् न-शेषतः कार्त्स्न्येन चरति जीवन-मात्र-चेष्टा-शेषः पर्यटति इत्यर्थः,न-शेषतः,Tn,Tatpurusha
इन्द्र-विक्रमात्,पावना पावकम् प्राप्य निर्-विकारम् उपागता,निर्-विकारम्,Bs6,Bahuvrihi
धन-लोभेन,अतः स: धन-लोभेन अपि वशीकृतः न अभूत्,धन-लोभेन,T6,Tatpurusha
अर्थ-कामेन,हत्वा अर्थ-कामान् तु गुरून् इह एव भुञ्जीय भोगान्,अर्थ-कामान्,Di,Dvandva
धर्म-परमः,युधिष्ठिरः सत्य-वचनः धर्म-परायणः धैर्यवान् च आसीत्,धर्म-परायणः,Bv,Bahuvrihi
श्रेष्ठिन्-सम्मुखम्,हि व्यवस्थापक: आगामिनि दिवसे दैवज्ञम् श्री भास्कराचार्यम् श्रेष्ठिन्-सम्मुखम् आनीतवान्,श्रेष्ठिन्-सम्मुखम्,T6,Tatpurusha
हृदय-आदीनि,युक्तानि हृदय-आदीनि द्वादशन्-अन्त-आदि पञ्चतः,हृदय-आदीनि,Bs6,Bahuvrihi
मन्द-स्वरेण,वीरदासः भीत्या मन्द-स्वरेण उक्तवान् सत्यम् वदामि,मन्द-स्वरेण,K1,Tatpurusha
स्व-धर्मे,स्व-धर्मे स्थितस्य निधनम् मरणम् अपि श्रेयः पर-धर्मे,स्व-धर्मे,T6,Tatpurusha
व्यायाम-शीलाः,सिक्का-मल्लस्य दर्प-दलनं कुर्यात् किं वयम् एतस्य राज्यस्य व्यायाम-शालासु मुधा एव लक्षशः मुद्राणां व्ययं कुर्मः,व्यायाम-शालासु,T6,Tatpurusha
सत्य-पराक्रम,तद्-अनन्तरम् अपि जन-स्थाने सहस्राधिक-राक्षसान् हत्वा स्व-पराक्रमम् उद्घोषितवान्,स्व-पराक्रमम्,T6,Tatpurusha
सु-विषाणः,बालैः जगतीयं भाति कलिकानाम् इव सु-विकासः,सु-विकासः,Tp,Tatpurusha
विमला-आद्याः,विमला-आद्याः केशर-स्थाः ग्रहाः कर्णिक-संस्थिताः,विमला-आद्याः,Bs6,Bahuvrihi
प्र-चलन्तौ,इत्थम् तौ मार्गे प्र-चलन्तौ च आस्ताम्,प्र-चलन्तौ,Tp,Tatpurusha
कृत-कर्माणं,राजा-एहि एहि पुत्र आयुष्मान् भव पुत्र पूजिताः कृत-कर्माणः योध-पुरुषाः,कृत-कर्माणः,Bs3,Bahuvrihi
गुप्त-दानम्,राजा प्रोवाच व्यास-महोदयम् भवताम् एव उक्तिम् गुप्त-दानम् महत्-दानम् सह-अर्थ कम् कर्तुम् मया एतत्,गुप्त-दानम्,K1,Tatpurusha
जित-इन्द्रियः,वशी जित-इन्द्रियः इत्यर्थः,जित-इन्द्रियः,Bs3,Bahuvrihi
संसृष्ट-लिङ्गं,हम्मीर-नर-ईशस्य राजन्-सभायां गत्वा दूतः अष्ट-अङ्गं प्रणम्य तस्मै पत्रम् अदात्,अष्ट-अङ्गं,ds,Dvandva
वश्यः-आत्मा,उपहर्ता अतिथीनां पूजकः पितृभ्यः पिण्ड-दः काले हित-मित-मधुर-अर्थ-वादी वश्य-आत्मा धर्म-आत्मा हेतौ ईर्ष्युः फले नेर्ष्युः निश्चिन्तः,वश्य-आत्मा,Bs6,Bahuvrihi
महत्-राजः,महत्-राजः ततः अग्रे किमपि श्रोतुम् न-इच्छन् पत्र-आवलिं,महत्-राजः,K1,Tatpurusha
युवन्-राजः,किं विलसति यदि तथा तया एव कन्यया युवन्-राजः स-द्वितीयं भवतु,युवन्-राजः,K1,Tatpurusha
न-वर्णनीया,न-वर्णनीया खलु सरस शोभा,न-वर्णनीया,Tn,Tatpurusha
अङ्गार-पूर्णाभिः,आगत्य सूचितवान् यत् एकस्मिन् कुटीरे शीतलेन अम्भसा प्र-पूर्णाः षट्-घटाः निहिताः सन्ति किन्तु कोऽपि कुटीरे,प्र-पूर्णाः,Tp,Tatpurusha
विनीत-मोहः,अतः अस्यां भूमौ विनीत-वेषः एव आवश्यकः इति सः चिन्तितवान्,विनीत-वेषः,K1,Tatpurusha
अग्नीन्-षोमौन्,अग्नेः भोज्यम् अन्नम् सोमः तत् एतत् उभयम् अग्नि-सोमौ सर्वम् इति पश्यतः अन्न-दोष-लेपः न भवति,अग्नि-सोमौ,Di,Dvandva
योद्धु-कामान्,यावत् एतान् निरीक्षे अहं योद्धु-कामान् अवस्थितान्,योद्धु-कामान्,Bs6,Bahuvrihi
यथा-वत्,आसव-संज्ञा द्रव्य-संयोग-विभाग-विस्तारः तु एषां बहुविधकल्पः संस्कारः च यथा-स्वं संयोग-संस्कार-संस्कृता हि आसवाः स्वं कर्म कुर्वन्ति,यथा-स्वं,A1,Avyayibhava
पौर-जानपदानां,प्रजा-जनानां चिन्ता सः नित्यं वहति स्म,प्रजा-जनानां,T6,Tatpurusha
मृत्यु-दण्डः,एतस्मै मृत्यु-दण्डः दीयते,मृत्यु-दण्डः,T6,Tatpurusha
कतिपय-दिनेभ्यः,कतिपय-दिनेभ्यः केचित् राजन्-कर्म-चारिणः आगत्य मम कूपिकायाः दूरे,कतिपय-दिनेभ्यः,K1,Tatpurusha
ह्रास-वृद्Zधः,सन्ध्या मुहूर्त्त-मात्रा वै ह्रास-वृद्धौ समा स्मृता,ह्रास-वृद्धौ,Di,Dvandva
स-उत्साहम्,मनसि आगताम् अतीत-अनुभूतिं झटिति त्यक्त्वा स-उत्साहम् अहम् अवदम् अयि भो अनुराग दिष्ट्या,स-उत्साहम्,BvS,Bahuvrihi
समान-वेगाः,हयाः सुपर्णेन समान-वेगाः,समान-वेगाः,Bs6,Bahuvrihi
तरु-तलात्,सु-दूरम् तरु-तलात् उलूकस्य गम्भीर ध्वनिः उत्तिष्ठति,तरु-तलात्,T6,Tatpurusha
झांङ्कार-कोलाहल,प्रारब्धः मधु-पैः न-कारणम् अहः झांङ्कार-कोलाहल:,झांङ्कार-कोलाहल:,K7,Tatpurusha
अभि-रतः,स्वे स्वे कर्मणि अभि-रतः सम्सिद्धिं लभते नरः,अभि-रतः,A1,Avyayibhava
प्रति-अहम्,प्रति-अहम् शिव-अर्चनम् करोषि,प्रति-अहम्,A1,Avyayibhava
न-सक्त,न-सक्त न-सक्ता सङ्ग-रहिता बुद्धिः अन्तःकरणम् यस्य सः,न-सक्त,Tn,Tatpurusha
मह-आत्मनः,इति एवम् अहम् वासुदेवस्य पार्थस्य च महत्-आत्मनः संवादम् इमम् यथा-उक्तम् अश्रौषम् श्रुतवान् अस्मि,महत्-आत्मनः,Bs6,Bahuvrihi
प्रिय-दर्शनः,सदा प्रिय-दर्शनः,प्रिय-दर्शनः,Bs6,Bahuvrihi
शत-संख्यम्,कृत्वा अपि पापम् शत-संख्यम् अपि असौ,शत-संख्यम्,Tds,Tatpurusha
नि-हताः,भटः महत्-राज बहुभिः किल पार्थिवैः समागतैः नि-हतः कुमारः अभिमन्युः स्यात् तु जयद्रथः निमित्त-भूतः,नि-हतः,Tg,Tatpurusha
न-निकेतः,न कारयन् आस्ते मौनी संतुष्टः येन केनचित् न-निकेतः स्थिर-मतिः विहाय कामान् यः सर्वान् पुमान्,न-निकेतः,Bsmn,Bahuvrihi
महत्-राजः,सुग्रीवः-यद् आज्ञापयति महत्-राजः हनूमन् एवम् क्रियताम्,महत्-राजः,K1,Tatpurusha
महत्-राजः,क्षण-कालात् अनन्तरं सः स्मृतवान् यत् अयोध्या-नगरे महत्-राजः शासनं करोति,महत्-राजः,K1,Tatpurusha
न-स्वास्थ्यम्,अतः सा न-स्वास्थ्यम् अभिनयन्ती शय्याम् आश्रितवती,न-स्वास्थ्यम्,Tn,Tatpurusha
पत्नी-पुत्रैः,भृग्रातुद-नामके पर्वत-प्रदेशे ऋचकः नाम कश्चन मुनिः पत्नी-पुत्रैः सह निवसति स्म,पत्नी-पुत्रैः,Di,Dvandva
महत्-आत्मना,शनैः शनैः तेन महत्-आत्मना स्व-परिचयः कारितः,महत्-आत्मना,K1,Tatpurusha
आदि-अन्तं,न केवलम् दुःख-योनयः आदि-अन्त वन्तः च आदिः विषय-इन्द्रिय-संयोगः भोगानाम् अन्तः,आदि-अन्त,Di,Dvandva
अविन्ध्य-वारितः,अविन्ध्य-वारितः राजा रथस्थः सबलः ययौ,अविन्ध्य-वारितः,T3,Tatpurusha
अनु-रूपा,राज्ञः एक-मात्र-पुत्री एषा सर्व-विध तया अपि भवतः अनु-रूपा इति बन्धु-वर्गस्य अपि अभिप्रायः,अनु-रूपा,A1,Avyayibhava
स्वयंवर-अर्थम्,नलः दीर्घं निश्वस्य इन्द्र-आदयः दिक्-पालकाः तव स्वयंवर-अर्थम् आगच्छन्तं ज्ञात्वा अपि मां तव अन्तिकं,स्वयंवर-अर्थम्,T4,Tatpurusha
कुपित-अकुपितस्य,यथा भगवान् आह यानि तु खलु वायोः कुपित-अकुपितस्य शरीर-अशरीर-चरस्य शरीरेषु चरतः कर्माणि बहिः शरीरेभ्यः,कुपित-अकुपितस्य,K3,Tatpurusha
महत्-राजः,ततः यदि महत्-राजः प्रसन्नः भविष्यति तर्हि किञ्चित् प्रदास्यति,महत्-राजः,K1,Tatpurusha
कुल-पुत्रः,सत्यम् भण सार्थवाह-कुले साहसम् कुर्वता त्वया कश्चित् कुल-पुत्रः शस्त्रेण अस्ति परिक्षतः व्यापादितः वा,कुल-पुत्रः,Km,Tatpurusha
अल्प-मतिः,हिरण्यकः अपि आह अहम् अल्प-शक्तिः दन्ताः च मे कोमलाः,अल्प-शक्तिः,Bs6,Bahuvrihi
न-दृश्यः,अतः वेतालः ततः न-दृश्यः भूत्वा यथा-पूर्वम् वृक्षस्य शाखाम् अवलम्बितवान्,न-दृश्यः,Tn,Tatpurusha
महत्-राजः,अभिमन्युः-आः कस्य महत्-राजः,महत्-राजः,K1,Tatpurusha
निन्दा-प्रशंसयोः,राक्षसः तस्याः पुरतः प्रत्यक्षीभूय अवदत् अहम् अस्मि निन्दा-राक्षसः,निन्दा-राक्षसः,K6,Tatpurusha
यथा-चरितं,राजा अपि तेषां यथा-उचितं सत्कार-आदि कं कृत्वा सम्माननं करोति स्म,यथा-उचितं,A1,Avyayibhava
शान्त-मानसम्,प्रशान्त-मनसम् प्रकर्षेण शान्तम् मनः यस्य सः प्रशान्त-मनाः,प्रशान्त-मनसम्,Bs6,Bahuvrihi
भिषक्-दृष्टः,स्नेहस्य स भिषक्-दृष्टः कल्पः प्राथमकल्पिकः,भिषक्-दृष्टः,T3,Tatpurusha
औषध-आलयम्,तदा अहम् औषध-आलयम् अपि गन्तुम् न अपारयम्,औषध-आलयम्,T6,Tatpurusha
पार-दर्शिनः,नृ-पतेः आदेशेन तेन अपि मुमूर्षुः कुक्कुरः प्र-दर्शितः,प्र-दर्शितः,Tp,Tatpurusha
न-चिन्त्यः,अतः एव न-चिन्त्यः अयम्,न-चिन्त्यः,Tn,Tatpurusha
काषाय-वसनाः,आसीत् एकः कषाय-वस्त्र संन्यासी,कषाय-वस्त्र,T6,Tatpurusha
विवाह-आख्यः,कुमारीणाम् जीवने पदे पदे समाशंकितः विवाह-आख्यः विध्ने अस्मिन् वर्षे न अजगाम,विवाह-आख्यः,Bs6,Bahuvrihi
ब्रह्म-आत्मने,गीता इत्यनेन श्लोकेन यः प्रारब्ध-कर्मा सन् यदा ब्रह्म-आत्म स्यात् तदा तस्य आत्मनः कर्तृ-कर्म-प्रयोजन-अभाव-दर्शिनः कर्मन्-परित्यागे,ब्रह्म-आत्म,Di,Dvandva
प्र-तनवः,पूर्व-अनुभवः अपि न आसीत्,पूर्व-अनुभवः,K1,Tatpurusha
हीन-कोशः,बुन्देल-जनानां साहाय्येन अति-साहसं कृत्वा छत्रसालेन सः धन-कोशः मार्गे एव लुण्ठितः,धन-कोशः,T6,Tatpurusha
रूप-सम्पन्नाम्,ताम् दृष्ट्वा रूप-सम्पन्नाम् दैत्याः प्रोचुः विमोहिताः,रूप-सम्पन्नाम्,T3,Tatpurusha
भद्र-वेषां,इतस्ततः पर्यटन् एकत्र सः श्मशाने समाधि-स्थलं परिवीजयन्तीं भद्र-वेषां महिलां दृष्ट्वा प्रभावितः अभवत् तां पृष्टवान्,भद्र-वेषां,Bs6,Bahuvrihi
शुभ-कार्यम्,एतत् शुभ-कार्यम् निर्विघ्नेन परिसमाप्ति-अर्थम् स्वामिनम् प्रार्थितुम् आगताः वयम्,शुभ-कार्यम्,K1,Tatpurusha
आक्रमण-अर्थम्,एकदा का अपि सेना तस्मिन् ग्रामे च आक्रमण-अर्थम् समागता,आक्रमण-अर्थम्,T4,Tatpurusha
रक्त-मुख,क्रोधेन रक्त-मुख: सञ्जात: सम्राट्,रक्त-मुख:,Bs6,Bahuvrihi
कीदृक्-विधम्,तदा सा कीदृक्-विधम् खिन्नत्वम् अनुबभूवा इति कथयितुम् न शक्यते,कीदृक्-विधम्,K1,Tatpurusha
सत्त्व-क्षेत्रज्ञयोः,क्षेत्र-क्षेत्रज्ञ-ईश्वर-याथात्म्य-व्यतिरेकेण न ज्ञान-गोचरम् अन्यत् अवशिष्टम् अस्ति तस्मात् क्षेत्र-क्षेत्रज्ञयोः ज्ञेय-भूतयोः यत् ज्ञानम् क्षेत्र-क्षेत्रज्ञौ येन ज्ञानेन,क्षेत्र-क्षेत्रज्ञयोः,Di,Dvandva
देव-समाः,एतस्मात् ते देवता-समानाः आसन्,देवता-समानाः,T3,Tatpurusha
निष्-प्राणः,सुरेशः निष्-प्राणः किम् उच्चारयन् अभवत्,निष्-प्राणः,Bvp,Bahuvrihi
धर्म-निष्ठः,सुधन्वा जानाति स्म यत् प्रह्लादस्य पिता न्याय-प्रियः धर्म-निष्ठः च वर्तते,धर्म-निष्ठः,Bs6,Bahuvrihi
दुष्ट-चेतसा,पुंसाम् शतम् न अवलोक्यम् भवद्भिः दुष्ट-चेतसा,दुष्ट-चेतसा,K1,Tatpurusha
राकेश-नामा,आदाय एम ए परीक्षाम् दित्सुः एकः छात्रः राकेश-नामा नियुक्तः अभूत्,राकेश-नामा,Bs6,Bahuvrihi
दुर्-दृश्यं,पश्चात् परावृत्तः भोजः कक्षे इदं दुर्-दृश्यं दृष्टवान् तदा प्रातः दुर्मुखस्य एव इदं,दुर्-दृश्यं,K1,Tatpurusha
न-सामर्थ्यम्,अत्र कारणम् युक्त-अ-युक्तता-निर्णये तयोः न-सामर्थ्यम्,न-सामर्थ्यम्,Tn,Tatpurusha
निर्-जला,संन्यासिनम् पृष्टवान् श्रीमन मया प्राप्यमाणनिधेः निमित्तम् अन्ये निर्-जला उपवासम् न कुर्युः इति भाति मम,निर्-जला,Bvp,Bahuvrihi
महत्-राजेन,अय्यभूदिओ पत्थिदो ततः तत् अपि किला अनुमतम् महत्-राजेन,महत्-राजेन,K1,Tatpurusha
स-सम्भ्रमम्,तम् अवलोक्य सः स-सम्भ्रमम् अप्राक्षीत् भवान् कः परिचयम् इच्छामि,स-सम्भ्रमम्,BvS,Bahuvrihi
करटक-दमनकाभ्याम्,इति उक्त्वा दमनकः करटक-समीपम् गतः,करटक-समीपम्,T6,Tatpurusha
यथा-शीघ्रम्,स्वस्य निर्णयम् यथा-शीघ्रम् ज्ञापयन्तु इति उक्त्वा ततः निर्गतवान् सः,यथा-शीघ्रम्,A1,Avyayibhava
न-दृश्यः,यदा मौन-भङ्गः कृतः तदा शव-अन्त:-गतः वेतालः ततः न-दृश्यः भूत्वा पुनश्च वृक्षे लम्बमानः स्थितवान्,न-दृश्यः,Tn,Tatpurusha
निर्-दयम्,युवां वराकं जीवम् आरुह्य निर्-दयम् आचरथः,निर्-दयम्,Bvp,Bahuvrihi
स-बलम्,उग्रवादिनाम् नायकः तत् प्रतिरोधकम् स-शस्त्रम् स-बलम् युवन्-समूहम् अवलोक्य उच्चैः अवोचत् भो मूढा,स-बलम्,BvS,Bahuvrihi
स-द्रव्यः,इति उक्त्वा वैद्यः तत्कालम् एव स्व-द्रव्य एकम् विष-मारण-औषधम् निष्कासितवान्,स्व-द्रव्य,T6,Tatpurusha
निः-आशीः,आत्मा देहः च संयतौ यस्य सः यत-चित्त-आत्मा निर्-आशीः वीत-तृष्णः न-परिग्रहः परिग्रह-रहितः च इत्यर्थः,निर्-आशीः,Bs6,Bahuvrihi
प्रथम-दिवसात्,प्रायेण ग्राम-वासिभि: परिवेष्टितस्य श्रीकण्ठस्य प्रथम-दिवसात् परम् भामत्या सह न स-अवकाशम् समधिगत:,प्रथम-दिवसात्,K1,Tatpurusha
गन्ध-गुणा,एवम् एकादशे द्वादशे च अन्न-काले अतः ऊर्ध्वम् अन्न-गुणान् क्रमेण उपभुञ्जानः सप्त-रात्रेण प्रकृति-भोजनम् आगच्छेत्,अन्न-गुणान्,T6,Tatpurusha
मौन-भङ्गम्,एवम् राज्ञः मौन-भङ्गम् कर्तुम् समर्थः वेतालः ततः न-दृश्यः भूत्वा,मौन-भङ्गम्,T6,Tatpurusha
न-उपभुज्यमानः,तत्-दिने रात्रौ निद्राम् न-लभमानः सः चिन्तितवान् राजन्-भवने एव स्थित्वा सुन्दर्याः,न-लभमानः,Tn,Tatpurusha
स्वर्ण-पुरुषस्य,कथ्यते यत् महता साधना-बलेन स्वर्ण-पुरुषस्य सिद्धि: क्रियते,स्वर्ण-पुरुषस्य,Km,Tatpurusha
न-सूचयित्वा,अत: सा सख्या सह तूष्णीम् एव गृह-जनान् न-सूचयित्वा पलाय्य अत्र समागता,न-सूचयित्वा,Tn,Tatpurusha
महत्-राजः,महत्-राजः तस्याः स्थितिं दृष्टवान्,महत्-राजः,K1,Tatpurusha
एवं-विधायाम्,एवं-विधायाम् स्थितौ यदि पुन: सन्ध्यायाम् कतिपये शरणार्थिनः,एवं-विधायाम्,Bs5,Bahuvrihi
इध्म-व्रश्चनम्,बाहु-मात्राः परिधयः इध्म-व्रश्चनम् एव च,इध्म-व्रश्चनम्,Ds,Dvandva
परिदग्ध-काया,एषा क्रिया उच्यते पर-काय इति इति,पर-काय,T6,Tatpurusha
वि-कर्माणि,चेतसा सर्व-कर्माणि मयि सन्न्यस्य अस्मत्-परः,सर्व-कर्माणि,K1,Tatpurusha
न-शुभात्,एवम् ज्ञानात् न-शुभात् मोक्ष-अनुपपत्तेः यत् ज्ञात्वा मोक्ष्यसे न-शुभात् इति,न-शुभात्,Tn,Tatpurusha
महत्-राजः,जयतु महत्-राजः,महत्-राजः,K1,Tatpurusha
चतुर्-विधा,चतुर्-विधाः चतुर्-प्रकाराः भजन्ते सेवन्ते माम् जनाः सुकृतिनः,चतुर्-विधाः,Bs6,Bahuvrihi
