Colling,Context,Components,Tag,labels
वैद्य-व्यपाश्रयाः,कश्चित् वैद्य-वरः तस्याः प्रतिवेशी आसीत्,वैद्य-वरः,T7,Tatpurusha
वैद्य-व्यपाश्रयाः,वैद्य-वरः च उपचारम् प्रारेभे,वैद्य-वरः,T7,Tatpurusha
अ-भीरुत्वम्,रामः-अत्र मोहम् उप-गतः तत्र भवान् हन्त नि-वेदितम् अ-प्रभुत्वम् मैथिलि,अ-प्रभुत्वम्,Tn,Tatpurusha
बीज-आदीनि,उपस्थितायाम् नावि त्वम् बीज-आदीनि विधाय च,बीज-आदीनि,Bs6,Bahuvrihi
अपाला-अभिधाना,अहम् अस्मि अपाला-अभिधाना दुहिता महर्षेः अत्रे,अपाला-अभिधाना,K7,Tatpurusha
स-शब्दः,भूमि-कम्पः स-शब्दः अयम्,स-शब्दः,BvS,Bahuvrihi
स-फलम्,रूवजोव्वणं सफलं संवुत्तं त्ति प्रियम् भर्तृदारिकायाः रूप-यौवनम् स-फलम् संवृत्तम् इति,स-फलम्,BvS,Bahuvrihi
स-फलम्,क्षिप्रम् आ-नीयतां पुत्रः पापं स-फलम् अस्तु इति,स-फलम्,BvS,Bahuvrihi
स-फलम्,दरिद्रः दीयते दानम् स-फलम् पाण्डु-नन्दन,स-फलम्,BvS,Bahuvrihi
स-फलम्,स-फलम् जीवितम् तस्य आत्मन्-अर्थे कः न जीवति,स-फलम्,BvS,Bahuvrihi
वि-क्रेतुं,शक्तिशालिनं रिपुं वि-जेतुं,वि-जेतुं,Tp,Tatpurusha
दानवीर-नाम्ना,पुनः अपि अयम् शंखश्रेष्ठी निर्-धनेभ्यः वस्त्र-आभूषणानि प्रयच्छन् दानवीर-नाम्ना पराम् ख्यातिम् अवाप,दानवीर-नाम्ना,Bvp,Bahuvrihi
सुख-उदयान्,जीवनस्य त्रासद्याम् कापि सुख-द प्रकरी इव वायु-प्रवाहः इव आगता क्षणाय,सुख-द,U,Tatpurusha
निर्-भयेन,तदा शिवताण्डवः निर्-भयेन एवम् तर्हि भवती माम् मारयित्वा स्वस्य,निर्-भयेन,Bvp,Bahuvrihi
सत्-भावं,सुशिक्षित: सुदर्शन: सत्-भाव बल-पराक्रम-आख्यात: युव-जन-शीर्ष-अभिषिक्त: युवक-उत्तम: राष्ट्र-प्रेम-आविष्टः अपि सः,सत्-भाव,k1,Tatpurusha
ईषा-दन्तेन,वीणा-वादनेन भगवत्-नामन्-सङ्कीर्तनं कुर्वन् सः गच्छति स्म,वीणा-वादनेन,T6,Tatpurusha
स-अपराधः,आम् श्रीमन् अहं स-अपराधः अस्मि,स-अपराधः,BvS,Bahuvrihi
स-अपराधः,नायकः-यदि एवम् अहम् अपि तावत् न-विज्ञात-प्रयुक्तेन प्रेष्य-समुदाचारेण स-अपराधः भवतीम् प्रसादयामि,स-अपराधः,BvS,Bahuvrihi
महत्-अशनः,महत्-अशनः महत्-पाप्मा विद्धि एनम् इह वैरिणम्,महत्-अशनः,Bs6,Bahuvrihi
महत्-अशनः,महत्-अशनः महत् अशनम् अस्य इति महत्-अशनः अतः,महत्-अशनः,Bs6,Bahuvrihi
अप-कर्षणम्,लवित्रम् कुटलिकाम् महत्-घनम् कुद्दालम् आरवानम् यत् किमपि उप-करणम् महत् लघु वा येन यत् लब्धम्,उप-करणम्,Tp,Tatpurusha
त्रि-लोकम्,त्रि-लोक्यम् एतत् कथितम् उत्सेधेन महत्-मुने,त्रि-लोक्यम्,Tds,Tatpurusha
त्रि-लोकम्,त्रि-लोक्यम् एतत् कृतकं मैत्रेय परिपठ्यते,त्रि-लोक्यम्,Tds,Tatpurusha
कृत-आह्निकः,अविमारकः-सम्यक् भवान् आह साम्प्रतम् अभ्यन्तरम् प्रविश्य कृत-आह्निकः महत्-राजेन अभ्यनुज्ञातः वास-गृहे शयन-संविधानम् प्रविश्य न-ज्ञातः,कृत-आह्निकः,Bs3,Bahuvrihi
कृत-आह्निकः,राजा अपि प्रातः एव कृत-आह्निकः त्वरितम् आससाद सभाम्,कृत-आह्निकः,Bs6,Bahuvrihi
मालवीय-भवने,बहिष्कृतौ किन्तु जननी-ममता-वशात् तौ अपि मन्दिरे उद्याने मालवीय-भवने वा सम्-आगत्य मात्रा सह वार्त्ता-आलापम् अकुरुताम्,मालवीय-भवने,T6,Tatpurusha
उन्मत्त-राक्षसः,महोदरः महापार्श्वः मत्तः उन्मत्त-राक्षसः,उन्मत्त-राक्षसः,K1,Tatpurusha
स्विन्न-गात्रः,मन्दिरस्य भित्ति-समीपम् अन्तरितः सिक्का एतत् आकर्ण्य स्विन्न-गात्रः समजायत,स्विन्न-गात्रः,Bs3,Bahuvrihi
स्विन्न-गात्रः,तत् अहः स्विन्न-गात्रः तु व्यायामं वर्जयेत् नरः,स्विन्न-गात्रः,Bs6,Bahuvrihi
इन्द्र-तुल्यः,सः पराक्रमेण इन्द्र-तुल्यः आसीत्,इन्द्र-तुल्यः,T3,Tatpurusha
म्लान-वदनः,एतत् श्रुत्वा म्लान-वदनः भीमः स्वस्य आगमनस्य उद्देशम् निर्-आश तायाः,म्लान-वदनः,Bs6,Bahuvrihi
स-विस्तरम्,पृष्टवान् असि यत् सौम्य तत् मे शृणु स-विस्तरम्,स-विस्तरम्,BvS,Bahuvrihi
स-विस्तरम्,स्नेहाध्याये मया उक्ताः ते स्वेदाख्ये च स-विस्तरम्,स-विस्तरम्,BvS,Bahuvrihi
स-विस्तरम्,संजीवकः ब्रूते मित्र तथापि स-विस्तरम् मनस्-गतम् उच्यताम्,स-विस्तरम्,BvS,Bahuvrihi
स-विस्तरम्,स-विस्तरम् यत् एतत् च शृणुयात् सः दिवम्,स-विस्तरम्,BvS,Bahuvrihi
स-विस्तरम्,स-विस्तरम् कष्टानि क्लेशान् च सः तस्याः पुरतः,स-विस्तरम्,BvS,Bahuvrihi
स-विस्तरम्,या: खलु निम्ब-अधिरूढ-तिक्त-आलाबु-कल्पा: गृहिण्य: बुधनी-वृतम् स-विस्तरम् समीक्षितवत्यः तासाम् स्थिति: स्वयम् अपि शोचनीया,स-विस्तरम्,BvS,Bahuvrihi
पाप-रक्षांसि,यदि अस्मात् मम प्राण-रक्षा भवति तदा प्रभोः चरण-अब्जे एकां कनक-मुद्राम्,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,यदा पानीयम् पीत्वा प्राण-रक्षा कृता तदा चिन्तितम् यत् अयम् कूपः,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,निगृह्य तस्याः दुर्-गतिं कर्तुं प्रवृत्तः यथा सा प्राण-रक्षा पलायमाना एव अदृश्यत इति,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,त्वं युद्ध-भूमिं त्यक्त्वा प्राण-रक्षा यदा पलायनं करिष्यसि तदा त्वां रक्षितुं,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,प्राण-रक्षा भोजनेच्छोरपेक्षया अधिकं सक्षमः स्फूर्तिमान् च भवति,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,मम एकस्य वि-धर्म इणः प्राण-रक्षा एतद्-दृशः विनाशः न उचितः,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,धन्ना च अहन्-निशम् स्वामिन: प्राण-रक्षा प्रयतते स्म,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,जलप्रचलितम्-यान-चालका: स्पष्टम् विनिवेदयन् यत् सर्वे प्राण-रक्षा प्र-यत्नम् कुर्वन्तु,प्राण-रक्षा,T6,Tatpurusha
पाप-रक्षांसि,प्राण-रक्षा तुम्बिका-नौकया जले अवतरतु भवान्,प्राण-रक्षा,T6,Tatpurusha
पाद-गुणाः,तत्र श्लोकौ इह ओषधं पाद-गुणाः प्रभवः भेषज-आश्रयः,पाद-गुणाः,T6,Tatpurusha
उप-तिष्ठति,तोरमु-देवस्य पूजनेन सः प्र-तिष्ठितः सिद्ध-पुरुषः च सञ्जातः,प्र-तिष्ठितः,K1,Tatpurusha
पट-पुटकम्,किम् च कारण-वशात् अत्र यात्रायै सम्-आयातस्य मे पट-पुटकम् छिन्नम् अतः अद्य किंचित् ऋण-रूपेण दीयताम्,पट-पुटकम्,T6,Tatpurusha
संस्कृत-भारत्याः,अयम् आसीत् प्रभाव: संस्कृत-भारत्याः अथवा मदीयस्य भाग्यस्य यत् तप्त-अंगारस्य साहचर्ये,संस्कृत-भारत्याः,K1,Tatpurusha
दृढ-विक्रमः,दृढ-व्रतः,दृढ-व्रतः,Bs6,Bahuvrihi
दृढ-विक्रमः,वशीकरण-अर्थम् कम् वा उपायम् कुर्याम् इति चिन्तयन् दृढ-व्रतः त्रिविक्रमः पुनश्च वृक्षस्य समीपम् गत्वा वृक्षे,दृढ-व्रतः,Bs6,Bahuvrihi
दृढ-विक्रमः,तत् मम राजत्वस्य एव अपमाननाय इति विचिन्त्य दृढ-व्रतः त्रिविक्रमः पुनः अपि वृक्षस्य समीपम् गतवान्,दृढ-व्रतः,Bs6,Bahuvrihi
दृढ-विक्रमः,दृढ-व्रतः त्रिविक्रमः स्वीकृतम् कार्यम् परित्यक्तुम् न-इच्छन् पुनः,दृढ-व्रतः,Bs6,Bahuvrihi
प्रति-इच्छकः,सूचितः धनुः-शत मात्रेण इव दृष्टः सः दिव्य-वारण प्रति-च्छन्दः,प्रति-च्छन्दः,Tp,Tatpurusha
संमान-शुश्रूषा,यशः इति पाओ शरण्यत्वं च या च संमान-शुश्रूषा यत् चेष्टानां विषयाणाम् आरोग्यम् आधत्ते सः,संमान-शुश्रूषा,Ds,Dvandva
विशाल-कायम्,प्रासाद-द्वारे खण्डम् खण्डम् कृतवान् विशाल-कायम् अजगरम्,विशाल-कायम्,Bs6,Bahuvrihi
कृत-वैराणाम्,अपरेद्युः च तत्-वर्णाम् एव साटिकीम् दधानाम् त्वाम् अपश्यम्,तत्-वर्णाम्,T6,Tatpurusha
पति-गृहे,विवाह-उत्तरं यदा सा पति-गृहे पदं निक्षिप्तवती तदा एव देवरस्य स्वभावेन,पति-गृहे,T6,Tatpurusha
पति-गृहे,न आसीत् अस्मत्-कृते पति-गृहे अपि कश्चित् प्रतिबन्ध,पति-गृहे,T6,Tatpurusha
पति-गृहे,पति-गृहे वर्ष-द्वयम् व्यतीतम् समागताया वासन्त्या,पति-गृहे,T6,Tatpurusha
पति-गृहे,पति-गृहे गच्छन्त्या अपि मे मन: वारम् वारम्,पति-गृहे,T6,Tatpurusha
ऊर्ण-नाभिः,युद्धे पुनः क्रियमाणे कर्ण-आदिभिः,कर्ण-आदिभिः,Bs6,Bahuvrihi
धर्म-वृत्तं,अहो महत् प्र-वृत्तं युद्धम्,प्र-वृत्तं,Tp,Tatpurusha
ज्वर-अन्ते,क्षौम् क्षेत्रपालाय द्वार-अन्ते द्वार-उपरि तथा श्रियम्,द्वार-अन्ते,T6,Tatpurusha
विचित्र-व्यवहारेण,किन्तु कदाचित् विचित्र-व्यवहारेण तान् खेदयति स्म,विचित्र-व्यवहारेण,K1,Tatpurusha
गिरि-गुहाम्,समादध्यात् सततम् सर्वदा आत्मानम् अन्तःकरणम् रहसि कान्ते गिरि-गुह स्थितः सन् एकाकी असहायः,गिरि-गुह,Di,Dvandva
बहु-विधानाम्,आत्मना सह वनम् प्रति सीतायाः आगमनम् वने बहु-विधानाम् कष्टानाम् सहनम् च रामः सर्वथा न,बहु-विधानाम्,k1,Tatpurusha
बहु-विधानाम्,तस्मात् कुटीरात् बहिः उभे सुन्दर्यौ कन्ये बहु-विधानाम् वर्णमयानाम् पुष्पाणाम् मध्ये भ्रमन्त्यौ पुष्पाणि चिन्वत्यौ,बहु-विधानाम्,k1,Tatpurusha
शश-अङ्कः,नक्षत्र-मध्यः इव पर्वन्-गतः शश-अङ्कः,शश-अङ्कः,T7,Tatpurusha
पञ्चसहस्र-राशिम्,इति कथयित्वा स्व-मञ्जूषाया निस्सार्य पञ्चसहस्र-राशिम् केशवप्रसादस्य करयोः तम् अर्पयित्वा पुनः उवाच,पञ्चसहस्र-राशिम्,K1,Tatpurusha
प्र-व्रजिते,द्रष्टुं त्वत् अन्येन कुरु प्र-वीर,प्र-वीर,Tp,Tatpurusha
चीन-देशः,चीन-देशः अपि तेषाम् पाद-आक्रान्त आसीत्,चीन-देशः,K7,Tatpurusha
स्मित-पूर्वकम्,एव आसने गृहीत-पर्याप्त-अवकाशा: स्थिताः चत्वार: यात्रिण: स-सुखम् स्मित-पूर्वकम् उत्फुल्ल-गल्लैः आलापम् कुर्वन्ति स्म,स्मित-पूर्वकम्,BvS,Bahuvrihi
महा-अपराधाः,वारम्-वारम् मया एतस्य महत्-अपराधः सोढः,महत्-अपराधः,K1,Tatpurusha
मातुलिङ्ग-निभाः,एवम् सिद्ध्यन्ति अराः सम्यक् मातुलिङ्ग-निभाः समाः,मातुलिङ्ग-निभाः,T3,Tatpurusha
अनु-रूपं,यदा सः वत्सलायाः कृते अनु-रूपं वरम् अन्विष्यति स्म तदा दुर्योधनस्य पुत्रः,अनु-रूपं,A1,Avyayibhava
अनु-रूपं,महान् प्रसादः एषः यद् भवान् मां पुत्र्याः अनु-रूपं वरं मन्यते,अनु-रूपं,A1,Avyayibhava
अनु-रूपं,श्रीमतां परिवारे जाता अधीत-विद्या अनु-रूपं धनिनम् उद्यम-पतिं वा पतिं प्राप्तुं योग्या,अनु-रूपं,A1,Avyayibhava
अनु-रूपं,यत् अनु-रूपं पुरस्कारं प्रा-दतुं मम समीपे धनम् एव,अनु-रूपं,A1,Avyayibhava
लघु-कालः,जीवनस्य लघु-कालः च स: गन्धमय: क्षणिक-वायुः इव आगत्य,लघु-कालः,K1,Tatpurusha
उदङ्-मुखं,सम-सुविभक्त-भूमिभागे सप्त-अष्टौ वा अरत्नीः उपक्रम्य उदकात् प्राङ्-मुखम् उदङ्-मुखं वा अभिमुख-तीर्थं कूटागारं कारयेत् उत्सेध-विस्तार तः,उदङ्-मुखं,Bs6,Bahuvrihi
प्रति-कोणम्,प्रज्वलितः बभूव हर्ष-प्रदीप येन प्रति-कोणम् प्रकाशेन उद्भासितम् अभवत्,प्रति-कोणम्,A1,Avyayibhava
अप-अर्थकम्,अन्यथा सर्वस्य ब्रह्मत्वे अर्पण-आदीनाम् एव विशेषतः ब्रह्मत्व-अभिधानम् न-अर्थकम् स्यात्,न-अर्थकम्,Bsmn,Bahuvrihi
अप-अर्थकम्,संन्यासी न-संन्यासी वा देहे एव आस्ते तत्र न-अर्थकम् विशेषणम् इति,न-अर्थकम्,Bsmn,Bahuvrihi
अप-अर्थकम्,केवलम् ज्ञानम् अपि न-अर्थकम् तर्हि न अविद्या-निवर्तक त्वे सति दृष्ट-कैवल्य-फल-अवसान,न-अर्थकम्,Bsmn,Bahuvrihi
महत्-मन्त्रिणम्,गृह-द्वारम् आवृतम् वीक्ष्य राजा एकम् सामन्तम् प्रेष्य महत्-मन्त्रिणम् आकारयामास महत्-मन्त्री द्वार-प्रदेशम् आगत्य दृष्टवान् यद,महत्-मन्त्रिणम्,K1,Tatpurusha
महत्-मन्त्रिणम्,किम्-अर्थम् महत्-राजच अनेन मार्गेण आगत: किम्-अर्थम् राजा महत्-मन्त्रिणम् बहिः आकारयामास किम्-अर्थम् महत्-मन्त्री स्व-हस्तम्-उदरम् प्रति,महत्-मन्त्रिणम्,K1,Tatpurusha
आकर्षण-विकर्षणेन,इत्थम् आकर्षण-विकर्षणेन श्रेष्ठिन: शरीरम् रक्त-रञ्जितम् अभवत्,आकर्षण-विकर्षणेन,Ds,Dvandva
स्वस्थ-चेता,रक्षितः शैत्य-उपचारेण स्वस्थ-चित्तः च,स्वस्थ-चित्तः,Bs6,Bahuvrihi
उपजात-विस्मय,साधुः च उपजात-विस्मय: तत्-पत्रम् उत्थाप्य अपठत्-,उपजात-विस्मय:,Bs4,Bahuvrihi
तिलक-आदि,किञ्चित् दिन-अन्तरम् पिता धौत-वस्त्रम् तिलक-आदि कम् च धृत्वा श्वेत-वृषभ-आरुढ: सन् तस्मिन्,तिलक-आदि,Bs6,Bahuvrihi
आकुल-हृदयस्य,निर्वासिताम् अपालाम् अवलोक्य मे पित्रोः विषम् आकुल-हृदयस्य कारुण्य-भावेन आश्रम-स्थेषु सर्वेषु जडà¤¼-चेतन-पदार्थेषु विराजते स्म,आकुल-हृदयस्य,K1,Tatpurusha
दिव्य-चक्षुभिः,ब्रह्म-परैः आप्तैः कर्म-विद्भिः अन्-उपहत-सत्त्व-बुद्धि-प्रचारैः पूर्वैः पूर्वतरैः महा-ऋर्षिभिः दिव्य-चक्षुभिः दृष्ट्वा उपदिष्टः पुनर्भवः इति व्यवस्येत् एवम्,दिव्य-चक्षुभिः,Bs6,Bahuvrihi
अमात्य-वल्लभानां,क्षीराणां तिल-तैलं स्थावरजातानां स्नेहानां वराह-वसा आनूपमृग-वसानां चुलुकी-वसा मत्स्य-वसानां पाकहंस-वसा जलचर-विहङ्ग-वसानां कुक्कुट-वसा विष्किर-शकुनि वसानां अज-मेदः,मत्स्य-वसानां,T6,Tatpurusha
अमात्य-वल्लभानां,अवि-क्षीरं क्षीराणां कुसुम्भस्नेहः स्थावरस्नेहानां महिष-वसा आनूपमृग-वसानां कुम्भीर-वसा मत्स्य-वसानां काकमद्गु-वसा जलचर-विहङ्ग-वसानां चटक-वसा विष्किर-शकुनि वसानां हस्ति-मेदः,मत्स्य-वसानां,T6,Tatpurusha
कृत-आगसम्,कृत्य-राक्षसम् मारितवत् चक्रम् दुर्वाससम् अभिलक्ष्य आगच्छत्,कृत्य-राक्षसम्,K7,Tatpurusha
नियत-मानसः,युञ्जन् एवम् सदा आत्मानम् योगी नियत-मानसः,नियत-मानसः,Bs6,Bahuvrihi
नियत-मानसः,यथा उक्तेन विधानेन सदा आत्मानम् सर्वदा योगी नियत-मानसः नियतम् संयतम् मानसम् मनः यस्य सः,नियत-मानसः,Bs6,Bahuvrihi
नियत-मानसः,युञ्जन् एवम् सत् आत्मानम् योगी नियत-मानसः,नियत-मानसः,Bs3,Bahuvrihi
सह-चराः,तत्र तत्रत्याः सर्वे अपि तस्य सह-चराः भिक्षुकाः सम्मिलिताः अजायन्त इति,सह-चराः,U,Tatpurusha
सह-चराः,न-चेतनं तं तस्य सह-चराः राज्ञे निवेदितवन्तः,सह-चराः,U,Tatpurusha
सह-चराः,अन्ते-वासिनः अस्य बहवः सह-चराः ते एव शिबिकाम् वहन्ति उपयुक्तम् च,सह-चराः,BvS,Bahuvrihi
सह-चराः,अन्ये अपि अस्य बहवः सम्बन्धिनः सह-चराः,सह-चराः,BvS,Bahuvrihi
अव्यक्त-आत्मा,अजः अपि सन् अव्यय-आत्मा भूतानाम् ईश्वरः अपि सन्,अव्यय-आत्मा,Bs6,Bahuvrihi
अव्यक्त-आत्मा,अजः अपि जन्मन्-रहितः अपि सन् तथा अव्यय-आत्मा न-क्षीण-ज्ञान-शक्ति-स्वभावः अपि सन् तथा भूतानाम् ब्रह्म-आदि-स्तम्ब-पर्यन्तानाम्,अव्यय-आत्मा,Bs6,Bahuvrihi
अन्तर-आत्मा,अन्तर-आत्मा तस्य घोर-अन्धकारे निमज्जति इव,अन्तर-आत्मा,K1,Tatpurusha
स-उत्साहेन,स-उत्साहेन सर्वे विधयः सम्पन्नाः भवन्ति स्म,स-उत्साहेन,BvS,Bahuvrihi
स-उत्साहेन,तत् सखे सर्वदा त्वया स-उत्साहेन भवितव्यम्,स-उत्साहेन,BvS,Bahuvrihi
स-उत्साहेन,अस्मिन् एव विभाविन्या: ज्येष्ठ-भगिन्या: मञ्जु-भाषिण्याः सु-दूरे मध्य-प्रान्ते स-उत्साहेन स-वैभवेन च परिणयम् अपि व्यधायि तेन,स-उत्साहेन,BvS,Bahuvrihi
आज्ञा-वशात्,आज्ञा-वशात् सर्व-रिपून् प्रमथ्य,आज्ञा-वशात्,T6,Tatpurusha
प्र-दातॄन्,जीवन-रक्षाम् प्र-दातॄन् तान् देव-दूतान् मन्यमानाः ता: यत् सुखम्,प्र-दातॄन्,Tp,Tatpurusha
सिंहासन-आरूढः,अहम् वृद्धः अभवम् नेत्र-निमीलनात् पूर्वम् मया सकृत् सिंहासन-आरूढः रामः द्रष्टव्यः इति,सिंहासन-आरूढः,T7,Tatpurusha
न-अवलोक्य,इतस्तत: दृष्टिम् प्रसारयन्ती तत्र अन्यम् कमपि जनम् न-अवलोक्य तम् उपाययौ,न-अवलोक्य,Tn,Tatpurusha
न-अवलोक्य,तत्र च स्वामिनम् न-अवलोक्य कञ्चित् अन्यम् एव च पुरुषम् तत्र,न-अवलोक्य,Tn,Tatpurusha
काल-प्रतीक्षणम्,तत्र अपि उल्लेखनं शस्तं स्वेदः काल-प्रतीक्षणम्,काल-प्रतीक्षणम्,T6,Tatpurusha
उत्-विग्न,नितराम् उत्-विग्न: सन् वट-वृक्षस्य अध: समुपविश्य व्यचारयत् कथम्,उत्-विग्न:,Tp,Tatpurusha
उत्-विग्न,एतत् निशम्य हल-गणकः नितराम् उत्-विग्न: सञ्जात:,उत्-विग्न:,Tp,Tatpurusha
षोडश-गुणम्,भेषजम् इति भिषजः भाषन्ते यत् उक्तं पूर्व-अध्याये षोडश-गुणम् इतितत् भेषजं युक्ति-युक्तम् अलम् आरोग्याय इति,षोडश-गुणम्,Bs6,Bahuvrihi
सहस्र-गुः,सहस्र-बाहुः सर्व-उर्वी-पतिः सः मृगयाम् गतः,सहस्र-बाहुः,Bs6,Bahuvrihi
त्रि-वारम्,भवता यस्मिन् दिने विवाह-प्रस्तावः उपस्थापितः तद अनन्तर-काले त्रि-वारम् युव-राजः सर्प-कण्टकात् ग्रस्तः जातः,त्रि-वारम्,K1,Tatpurusha
त्रि-वारम्,एवम् कथाम् समाप्य अवदत् अये राजन् युवन्-राजः त्रि-वारम् सर्प-आघात तः रक्षितः जातः,त्रि-वारम्,Tds,Tatpurusha
त्रि-वारम्,त्रि-वारम् सर्प-कण्टकम् सम्मुखीकृतम् यत् तस्य कारणम् अपि,त्रि-वारम्,Tds,Tatpurusha
त्रि-वारम्,अस्य ग्रामस्य वीरा त्रि-वारम् एव बाणम् चालयन्ति न अधिक-वारम्,त्रि-वारम्,Tm,Tatpurusha
त्रि-वारम्,किम् अपि साहाय्यम् आवश्यकम् तदा नेत्रे निमील्य त्रि-वारम् मम नाम उच्चारयतु,त्रि-वारम्,Tm,Tatpurusha
त्रि-वारम्,एव वरम् स्यात् इति उक्त्वा महत्-ऋषेः नाम त्रि-वारम् उच्चारितवती,त्रि-वारम्,Tm,Tatpurusha
काम-आशयः,विमुक्तः कौन्तेय तमस्-द्वारैः तमसः नरकस्य दुःख-मोह-आत्मकस्य द्वाराणि काम-आदयः तैः एतैः त्रिभिः विमुक्तः नरः आचरति,काम-आदयः,Bs6,Bahuvrihi
गत-मन्युः,सायकम् च अपि रामस्य गत-आयुः इति भाषते,गत-आयुः,Bs6,Bahuvrihi
कतिपय-जनानाम्,अहम् दृढतया अवोचम् कस्यचन समारोहस्य प्रसंगे मत्-गृहे कतिपय-जनानाम् सग्धिः अस्ति,कतिपय-जनानाम्,K1,Tatpurusha
दृष्टि-बाणाः,यावत् लीलावतीनाम् न हृदि धृति-मुषः दृष्टि-बाणाः पतन्ति,दृष्टि-बाणाः,K6,Tatpurusha
अल्प-बुद्Zधिभ्यः,एताम् दृष्टिम् अवष्टभ्य नष्ट-आत्मानः अल्प-बुद्धयः,अल्प-बुद्धयः,Bs6,Bahuvrihi
अल्प-बुद्Zधिभ्यः,एतां दृष्टिम् अवष्टभ्य नष्ट-आत्मानः अल्प-बुद्धयः,अल्प-बुद्धयः,Bs6,Bahuvrihi
अल्प-बुद्Zधिभ्यः,एताम् दृष्टिम् अवष्टभ्य आश्रित्य नष्ट-आत्मानः नष्ट-स्वभावाः विभ्रष्ट-पर-लोक-साधनाः अल्प-बुद्धयः विषय-विषयाः अल्पा एव बुद्धिः येषाम् ते,अल्प-बुद्धयः,Bs6,Bahuvrihi
अल्प-बुद्Zधिभ्यः,अल्प-बुद्धयः विषय-विषयाः अल्पा एव बुद्धिः येषाम् ते अल्प-बुद्धयः प्रभवन्ति उद्भवन्ति उग्र-कर्माणः क्रूर-कर्माणः हिंसा-आत्मकाः,अल्प-बुद्धयः,Bs6,Bahuvrihi
सत्य-संधात्,सत्य-सन्धाः सु-वृत्ताः च सज्जनाः दैव-योगतः,सत्य-सन्धाः,T6,Tatpurusha
रुक्मिणी-आद्याः,षोडश स्त्री-सहस्राणि रुक्मिणी-आद्याः तथा अष्ट च,रुक्मिणी-आद्याः,Bs6,Bahuvrihi
अ-कृत्वा,सः प्रणामम् न-कृत्वा एव सभा-स्थानात् बहिः गतः,न-कृत्वा,Tn,Tatpurusha
अ-कृत्वा,तदा तस्य श्वसुरः चिकित्साम् न-कृत्वा एव ताम् पितृ-गृहं प्रापितवान्,न-कृत्वा,Tn,Tatpurusha
अ-कृत्वा,सुख-दुःखे समे तुल्ये कृत्वा राग-द्वेषौ अपि न-कृत्वा इति एतत्,न-कृत्वा,Di,Dvandva
अ-कृत्वा,जयन्तः तस्मिन् चित्रे सकृत् दृष्टि-क्षेपम् अपि न-कृत्वा एव अवदत् एषा न इष्यते मया,न-कृत्वा,Tn,Tatpurusha
अ-कृत्वा,क्षण-मात्रम् अपि निद्राम् न-कृत्वा एकम् दिनम् यापनीयम् भवता,न-कृत्वा,Tn,Tatpurusha
अ-कृत्वा,तत् न-कृत्वा सन्न्यासिनः वचनेन अनन्तर-दिने एव राजधानीम् प्रस्थितः,न-कृत्वा,Tn,Tatpurusha
अ-कृत्वा,एतद् अत्र स्मर्तव्यम् यत् प्र-यत्नम् एव न-कृत्वा विना आयासेन फलम् प्राप्तुम् यदि मन्त्र-विद्यायाः,न-कृत्वा,Tn,Tatpurusha
