Colling,Context,Components,Tag,labels
दया-गुणः,यस्मिन् दैव-भक्तिः दया-गुणः च न भवति सः कदाचिद् अपि,दया-गुणः,K7,Tatpurusha
भय-भीतः,बालाः सः स्वर्ण-कारः आभूषणस्य कारणात् भय-भीतः जातः यत् चौररूपेण तं न दण्डयेत्,भय-भीतः,T5,Tatpurusha
कृष्ण-मुखाः,वन्याः महिषाः कृष्ण-मुखाः वानराः महत्-सूकराः इत्यादयः अपि दृश्यन्ते स्म,कृष्ण-मुखाः,Bs6,Bahuvrihi
महत्-राजः,आर्य महत्-राजः देव-असुरसंग्रामेषु अ-प्रतिहतमहा-रथः,महत्-राजः,K1,Tatpurusha
सुख-दुःखस्य,तौ एव इच्छा-द्वेषौ शीत-उष्ण वत् परस्पर-विरुद्धौ सुख-दुःख यथा-कालम् सर्व-भूतैः संबध्यमानौ द्वन्द्व-शब्देन अभिधीयेते,सुख-दुःख,Ds,Dvandva
अभि-मुखम्,क्लेशः आसीत् इत्यतः सः आ-दिनं तस्य रन्ध्रस्य अभि-मुखम् एव स्व-मुखं संस्थाप्य तिष्ठति स्म येन,अभि-मुखम्,A1,Avyayibhava
उपमा-रूपकयोः,उपमा-रूपकयोः भेदम् अपरे पृच्छन्ति,उपमा-रूपकयोः,Di,Dvandva
निर्-धनः,तौ मित्रे च आस्ताम् अपचीयमानेन व्यवसायेन पीलिया-श्रेष्ठी निर्-धनः सञ्जातः,निर्-धनः,Bvp,Bahuvrihi
अग्नि-ज्योतिः,अग्नि-ज्योतिः अहः शुक्लः षट्-मासा उत्तर-अयणम्,अग्नि-ज्योतिः,T6,Tatpurusha
सु-प्रसिद्धम्,देव-दानवयोः सनातनं वैरं तु सु-प्रसिद्धम् एव,सु-प्रसिद्धम्,Di,Dvandva
स-धैर्यम्,अये राजन् एतादृशे घोरे श्मशाने मध्य-रात्रे भवान् स-धैर्यम् यत् सञ्चरति पौनः पुन्येन विफलता प्राप्ता,स-धैर्यम्,BvS,Bahuvrihi
निर्-उत्तरः,ज्ञातुम् शक्नुवन्ति किमिति अत्र दुर्-भिक्षम् पतितम् अहम् निर्-उत्तरः अभूवम्,निर्-उत्तरः,Bvp,Bahuvrihi
मध्य-अह्न,मध्य-अह्न समागत:,मध्य-अह्न,T1,Tatpurusha
अनु-कूलम्,भाग्यम् यदि अनु-कूलम् तर्हि सर्वम् सेत्स्यति,अनु-कूलम्,A1,Avyayibhava
सक्त-गतिः,शीतः सक्त-गतिः यः तु कण्डूमान् पाण्डुः एव च,सक्त-गतिः,Bs6,Bahuvrihi
स-पक्षिणः,स्युः जङ्गमाः मत्स्य-मृगाः स-पक्षिणः,स-पक्षिणः,Di,Dvandva
सन्ध्या-आदिकम्,ततः सः सन्ध्या-आदिकम् यावत् समापयत् तावता सर्वत्र अरुण-प्रकाशः प्रसृतः,सन्ध्या-आदिकम्,Bs6,Bahuvrihi
कराल-आस्य,नरसिंह कराल-आस्य दन्त-प्रान्त-अनल-उज्ज्वल,कराल-आस्य,Bs6,Bahuvrihi
स-अभिनन्दम्,केचित् प्रणयिनीभिः पाचितम् सूप-ओदन-आदि-दधि-शाक-आदिभिः सम्मिश्र्य स-अभिनन्दम् अभ्यवहर्त्तुम् प्रवृत्ताः परे भोजन-अर्थम् आह्वानम् प्रतीक्षमाणाः,स-अभिनन्दम्,BvS,Bahuvrihi
द्रव्य-त्यागे,तस्मात् एव द्रव्य-राशेः इदम् दास्यामि,द्रव्य-राशेः,T6,Tatpurusha
शुद्धान्त-नाम्नि,क्रमश राजानम् कोपयन्ती सा पुत्र-सहिताम् ताम् सोलङ्किनी शुद्धान्त-नाम्नि ग्रामे प्रैषयत्,शुद्धान्त-नाम्नि,Bs6,Bahuvrihi
ह्री-निषेधा,स्खलिता वाणी कम्पितम् अधरम् प्रीति-स्निग्धा दृष्टिः,प्रीति-स्निग्धा,Bs6,Bahuvrihi
तनु-त्वचः,तद्-वचः समाकर्ण्य चिल्ला भीतिम् आपन्ना,तद्-वचः,T6,Tatpurusha
शर-सन्धानम्,सम्प्रति शर-सन्धानम् करोमि इति कथयित्वा इवानः जीर्ण-तरु-कोटरे बाणान्,शर-सन्धानम्,T6,Tatpurusha
लालन-पालनयो,यथा हि सर्वेषु परिवारेषु भवति शिशो: लालन-पालनयो: रतायै इन्दुमत्यै श्वश्रु-सेवाम् कर्तुम् पर्याप्त: समय:,लालन-पालनयो:,Di,Dvandva
बीज-सञ्ज्ञिकाम्,तत्र शक्तिम् न्यसेत् पश्चात् पार्थिवीम् बीज-सञ्ज्ञिकाम्,बीज-सञ्ज्ञिकाम्,Bs6,Bahuvrihi
महत्-आत्मनि,उत्तरः तु चतुर्-वर्गः महत्-आत्मनि एव तिष्ठति,महत्-आत्मनि,Bs6,Bahuvrihi
सं-वादं,अतः स्व-वादं प्रस्तोतुं तुभ्यम् अवसरं ददामि,स्व-वादं,T6,Tatpurusha
जल-मध्ये,केशरे तु लिखेत् द्वौ द्वौ दल-मध्ये ततः पुनः,दल-मध्ये,T6,Tatpurusha
परम-ईश्वर,अवगतम् किन्तु भीतेन आशङ्कितेन च मया न-सकृत् परम-ईश्वर: प्रार्थितः यत् मा कश्चन मम अयम्,परम-ईश्वर:,k1,Tatpurusha
न-सुविधाम्,चलने भ्रमणे अपि सः न-सुविधाम् अनुभवति स्म,न-सुविधाम्,Tn,Tatpurusha
औदक-लावणिकेन,अन्न-काले दशमे तु अन्न-काले लाव-कपिञ्जल-आदीनाम् अन्यतमस्य मांस-रसेन औदक-लावणिकेन न अतिसारवता भोजयेत् उष्ण-उदक-अनुपानम् एवम् एकादशे,औदक-लावणिकेन,Ds,Dvandva
सेवा-निवृत्तस्य,राज्ञः च अभिवादनम् अकरोत् महत्-मन्त्री सेवा-निवृत्तस्य स्थितिम् वीक्ष्य राजा विस्मितः अभवत्,सेवा-निवृत्तस्य,T5,Tatpurusha
महा-अनुभावान्,गुरून् न-हत्वा हि महत्-अनुभावान् श्रेयः भोक्तुम् भैक्ष्यम् अपि इह लोके,महत्-अनुभावान्,Bs6,Bahuvrihi
जात-कण्डूं,छिद्यमानं यथा शस्त्रैः जात-कण्डूं महा-रुजम्,जात-कण्डूं,Bs7,Bahuvrihi
काष्ठ-विक्रेता,सिंह: पृष्टवान् किम् व्रण: पूरित: काष्ठ-विक्रेता प्रोवाच-व्रण: पूर्णतया परि-पूर्ण:,काष्ठ-विक्रेता,T6,Tatpurusha
सर्व-देहः,सर्वत्र सर्व-देह त्वेन गम्यमानाः पाणि-पाद-आदयः ज्ञेय-शक्ति-सद्भाव-निमित्त-स्वकार्याः इति ज्ञेय-सद्भावे,सर्व-देह,T6,Tatpurusha
दक्षिण-अयनम्,षट्-मासाः दक्षिण-अयनम् इति च पूर्ववत् देवता एव,दक्षिण-अयनम्,K1,Tatpurusha
अनु-भूतम्,सः कः तेन किम्-अर्थम् कीदृशम् कष्टम् अनु-भूतम् इति आदिकम् ज्ञातुम् भवतः महत् कुतूहलम्,अनु-भूतम्,A1,Avyayibhava
सुरा-सौवीरकस्य,दधि-अम्ल-मस्तु-सुक्तानां सुरा-सौवीरकस्य च,सुरा-सौवीरकस्य,Ds,Dvandva
मार्ग-आयासः,तेन भवतः मार्ग-आयासः अपि परिहृतः भवेत्,मार्ग-आयासः,T7,Tatpurusha
शत-गुः,गान्धार्याः शत-पुत्राः तथा एका कन्या च आसन्,शत-पुत्राः,K1,Tatpurusha
न-आदृत्य,एकाकी न रमते इति श्रौत-सिद्धान्तम् न-आदृत्य कियान् समय: सः यापयेद् वराक:,न-आदृत्य,Tn,Tatpurusha
धातु-आश्रयाणां,अर्थ-संग्रहस्य आहार-गतेः च हित-अहित-उपयोग-विशेष-आत्म कस्य च शुभ-अशुभ-विशेषस्य धातु-आश्रयाणां च रोगाणां स-औषध-संग्रहाणां दशानां च प्राणायतनानां,धातु-आश्रयाणां,Bs6,Bahuvrihi
स-शेषम्,मूषिक-शब्दम् यदा यदा शृणोति तदा तदा स-विशेषम् मांस-आहार-दानेन तम् बिडालम् संवर्धयति,स-विशेषम्,BvS,Bahuvrihi
आत्म-तीर्थे,स-फलम् जीवितम् तस्य आत्मन्-अर्थे कः न जीवति,आत्मन्-अर्थे,BvS,Bahuvrihi
स-आतङ्कम्,तदा विमला स-आतङ्कम् अवदत् भवतः पितुः मम पितुः च,स-आतङ्कम्,BvS,Bahuvrihi
शतद्रु-नदी,अन्तत: सम्-आगता शतद्रु-नदी भारत-पाक-सीमानम् द्योतयन्ती एतासाम् मनस्-भावम् उत्साहम् च,शतद्रु-नदी,K7,Tatpurusha
न-अन्येन,न-अन्येन एव योगेन माम् ध्यायन्ते उपासते,न-अन्येन,Tn,Tatpurusha
क्षौद्र-संयुतः,बिल्वादि-पञ्च-मूलस्य प्रयोगः क्षौद्र-संयुतः,क्षौद्र-संयुतः,T3,Tatpurusha
प्रजा-पति,प्रजा-पति धाता,प्रजा-पति,T6,Tatpurusha
कृत्त-देहाः,तस्य मृत-देहः अन्त्य-दर्शन-अर्थं नंदन सांस्कृतिक-संकुले स्थापितः आसीत्,मृत-देहः,K1,Tatpurusha
अगस्त्य-आदीनाम्,अगस्त्य-आदीनाम् कृते ब्रह्मचारिभ्यः च वस्त्र-मणि-गवादिकम् वितीर्णम्,अगस्त्य-आदीनाम्,Bs6,Bahuvrihi
वज्र-अङ्काः,शैलाः व्रज्र-हताः इव आशु समरे रक्षस्-गणाः पातिताः,व्रज्र-हताः,T3,Tatpurusha
काजी-कृतेन,काजी-कृतेन निर्णयेन सर्वे स्तब्धाः सञ्जाताः,काजी-कृतेन,T3,Tatpurusha
प्र-बोधनस्य,किम् इन्द्रस्य प्र-बोधनस्य यवक्रीते प्रभावः अभवत्,प्र-बोधनस्य,Tp,Tatpurusha
अ-धर्मः,तम् निहत्य मया धर्म एव कृतः न न-धर्मः,न-धर्मः,Tn,Tatpurusha
भिन्न-अङ्गः,जटायुषा सः भिन्न-अङ्गः अङ्केन आदाय जानकीम्,भिन्न-अङ्गः,Bs6,Bahuvrihi
लक्ष-लोभान्,ल लक्ष-लोभान् निपातित:,लक्ष-लोभान्,Tdt,Tatpurusha
अर्दित-अर्धावभेदकौ,मन्यास्तम्भः शिरः-शूलम् अर्दित-अर्धावभेदकौ,अर्दित-अर्धावभेदकौ,Di,Dvandva
निर्-रोगः,अधुना शीघ्रम् एव निर्-रोगः भवेयम् इत्यर्थम् भवताम् समीपे समागत:,निर्-रोगः,Bvp,Bahuvrihi
स्व-अर्थाय,मन्त्र-तन्त्र-शक्तिम् दत्त्वा उक्तवान् आसीत् यत् एतस्याः उपयोगः स्व-अर्थाय न स्यात् इति,स्व-अर्थाय,T4,Tatpurusha
पीलु-रसं,द्राक्षा-रसं पीलु-रसं जलम् उष्णम् अथ अपि वा,पीलु-रसं,T6,Tatpurusha
भावित-आत्मानः,वर्तते विदित-आत्मनाम् विदितः ज्ञातः आत्मा येषाम् ते विदित-आत्मानः तेषाम् विदित-आत्मनाम् सम्यक् दर्शिनाम् इत्यर्थः,विदित-आत्मानः,Bs6,Bahuvrihi
द्वि-अक्षरः,लक्षणम् च एक-हस्तस्य द्वि-गुणम् द्वि-कर,द्वि-कर,Km,Tatpurusha
प्रति-अहम्,मायाविनी प्रति-अहम् गृहे एव अतिष्ठत्,प्रति-अहम्,A1,Avyayibhava
विगत-कल्मषः,युञ्जन् एवं सत् आत्मानम् योगी विगत-कल्मषः,विगत-कल्मषः,Bs5,Bahuvrihi
वन्य-पशवः,बहवः वन्य-पशवः तस्मात् विनिर्गता परम् न एकेन अपि,वन्य-पशवः,k1,Tatpurusha
स-तिक्तौ,युज्यते तु कषायेण स-तिक्तौ लवण-उषणौ,स-तिक्तौ,BvS,Bahuvrihi
प्र-कर्तव्या,स्वेन आवरण-आत्मना प्रमादे सञ्जयति उत प्रमादः नाम प्राप्त-कर्तव्य,प्राप्त-कर्तव्य,K1,Tatpurusha
वस्त्र-धारणम्,वध्वाः इव आसीत् सीतायाः वस्त्र-धारणम्,वस्त्र-धारणम्,T6,Tatpurusha
लघु-कुक्कुटाः,लघु-कुक्कुटाः प्रोचुः त्वम् मलिनः असि त्वया सह,लघु-कुक्कुटाः,K1,Tatpurusha
खर-मूत्रम्,खर-मूत्रम् अपस्मार-उन्माद-ग्रह-विनाशनम्,खर-मूत्रम्,T6,Tatpurusha
देवकुल-धूमेन,ब्राह्मणी-देवउलधूमेण रोदाविदा देवकुल-धूमेन रोदिता,देवकुल-धूमेन,T6,Tatpurusha
स-रुजात्,सायंकाले सः स्व-उटजात् बहिः प्रवचनम् अकरोत्,स्व-उटजात्,T6,Tatpurusha
मह-आत्मनः,दस्युभिः सह महत्-आत्मनः कीदृशः व्यवहारः आसीत्,महत्-आत्मनः,Bs6,Bahuvrihi
हंसी-हंसयोः,इति हंसीं हस्ताभ्यां बध्नाति हंसी-हंसयोः पक्ष-ध्वनिः स्थगितः इयं खलु हंसी अतीव,हंसी-हंसयोः,Di,Dvandva
सं-पन्नाः,अतः सा समये पुत्र-सहितायाः स-पत्न्याः मिथ्या-अपवादैः तस्यै तम् अरोषयत्,स-पत्न्याः,Bs6,Bahuvrihi
रोटिका-आदि,अश्वानाम् कृते सस्य-आदि कम् केचित् दन्तिनाम् उपयुक्तम् रोटिका-आदि कम् गृह्णन्ति,रोटिका-आदि,Bs6,Bahuvrihi
दुर्-व्यवहारः,अपि तु स्व-तन्त्राणाम् कला-काराणाम् विषये अपि तैः दुर्-व्यवहारः क्रियते कदाचित्,दुर्-व्यवहारः,Tp,Tatpurusha
त्रि-पादिकायाम्,सहसा एव असूया-विवशस्य तस्य हस्ताद् हृदय-गति-श्रवण-यन्त्रम् स्टेथोस्कोप त्रि-पादिकायाम् टेबल अस्रंसत्,त्रि-पादिकायाम्,Bvs,Bahuvrihi
राजन्-कुमारीं,शनैः गत्वा राजन्-कुमारीं उपसृत्य राजन्-कुमारीं,राजन्-कुमारीं,T6,Tatpurusha
चक्र-आयुधः,श्लाघ्यः पार्थिव-पार्थिवः तव कथम् राजा न चक्र-आयुधः,चक्र-आयुधः,Bs6,Bahuvrihi
आदित्य-वर्णम्,सर्वस्य धातारम् न-चिन्त्य-रूपम् आदित्य-वर्णम् तमसः परस्तात्,आदित्य-वर्णम्,BvU,Bahuvrihi
शान्त-मानसम्,प्रकर्षेण शान्तम् मनः यस्य सः प्रशान्त-मनाः तम् प्रशान्त-मनसम् हि एनम् योगिनम् सुखम् उत्तमम् निरतिशयम्,प्रशान्त-मनसम्,Bs6,Bahuvrihi
न-सङ्ख्येयम्,एतत् सर्वं विचिन्त्य सा एवम् न-सत्यम् उक्तवती आसीत्,न-सत्यम्,Tn,Tatpurusha
अ-संगतैः,विषयेषु न-संगतः उदर-पूर्तये भिक्षाम् अटन् लब्धेन जीवनम् अयापयत्,न-संगतः,Tn,Tatpurusha
प्रति-अक्षम्,अवरङ्गजेबस्य राजन्-सभा कियती भय-आकुला आसीत् इत्यपि तेन प्रति-अक्षम् अनुभूतम् आसीत्,प्रति-अक्षम्,A1,Avyayibhava
सं-भूतः,तथा खे आकाशे शब्दः सार-भूतः तस्मिन् मयि खम् प्रोतम्,सार-भूतः,T2,Tatpurusha
गात्र-ऊर्ध्वबाहुकः,ऊर्ज्जायाम् च वशिष्ठात् च राजा गात्र-ऊर्ध्वबाहुकः,गात्र-ऊर्ध्वबाहुकः,Di,Dvandva
राम-लक्ष्मणौ,यद्यपि राम-लक्ष्मणौ समान-उदरौ न आस्ताम् तथापि तयोः मैत्री,राम-लक्ष्मणौ,Di,Dvandva
आर्य-शीलः,ताभिः अगस्त्यः धैर्य-शीलः जन-हित-कर्ता दयालुः ऋषिः आसीत् इति ज्ञायते,धैर्य-शीलः,T6,Tatpurusha
न-न्यायम्,सा तरुणी अपि सर्वम् अपि न-न्यायम् दुर्-आचारम् च मौनम् अवलम्ब्य असहत,न-न्यायम्,Tn,Tatpurusha
महत्-राजः,काञ्चुकीयः-यत् आ-ज्ञापयति महत्-राजः निष्क्रान्तः,महत्-राजः,K1,Tatpurusha
राम-लक्ष्मणौ,विश्वामित्रम् दृष्ट्वा सर्वे मुनयः आगत्य नमस्कारम् कृतवन्तः राम-लक्ष्मणौ च प्रीत्या स्वागतीकृतवन्तः च,राम-लक्ष्मणौ,Di,Dvandva
अ-धर्मः,तदा अन्तर्-आत्मा वदति यत् एतत् पापम् अथ न-धर्मः एवं मा करोतु,न-धर्मः,Tm,Tatpurusha
गुण-आश्रयाः,गुणाः गुण-आश्रयाः न उक्ताः तस्मात् रस-गुणान् भिषक्,गुण-आश्रयाः,Bs6,Bahuvrihi
न-उपस्थितौ,तया सहोषिता बन्धु-दासी श्रीरामस्य अभिषेकम् अनिच्छन्ती भरतस्य न-उपस्थितौ श्रीराम-अभिषेकं गर्हमाणा कैकेय्याः मनः परिवर्तितवती,न-उपस्थितौ,Tn,Tatpurusha
मन्द-भाग्यः,वृद्धः किं करिष्यामि मन्द-भाग्यः,मन्द-भाग्यः,Bs6,Bahuvrihi
जिह्वा-आवर्तां,मधु तिष्ठति जिह्वा-अग्रे हृदि हालाहलम् विषम्,जिह्वा-अग्रे,T6,Tatpurusha
स-उन्नादम्,सम्पन्ने पाके स-उन्नादम् शङ्ख-वाद्यम् कृत्वा ठणट्ठणत् इति घण्टाम् ध्वनयामास,स-उन्नादम्,BvS,Bahuvrihi
दक्षिण-दिशि,तथापि दक्षिण-दिशि तस्य कार्यं प्रसिद्धम्,दक्षिण-दिशि,K7,Tatpurusha
इति-आदयः,औदार्यं क्षमा इति-आदयः गुणाः श्रीरामे प्रसिद्धाः,इति-आदयः,BS6,Bahuvrihi
वाक्य-अर्थ,तत् इदम् गीता-शास्त्रम् समस्त-वेद-अर्थ-सार-संग्रह-भूतम् दुर्विज्ञेय-अर्थम् तत्-अर्थ-आविष्करणाय अनेकैः वाक्य-अर्थ अपि अत्यन्त-विरुद्ध-अनेक-अर्थ त्वेन लौकिकैः गृह्यमाणम् उपलभ्य,वाक्य-अर्थ,T6,Tatpurusha
निर्-मलम्,उदर-भरण-मात्रम् अपि कर्तुम् न-शक्तेन पारतन्त्र्य-बन्धनेन येन पूर्वजानाम् निर्-मलम् यशः अपि कालुष्यम् उपेयात्,निर्-मलम्,Bvp,Bahuvrihi
स्व-जीवने,युवकः न अस्य प्रश्नस्य उत्तरम् लब्धवान् स्व-जीवने,स्व-जीवने,T6,Tatpurusha
स-द्रुमात्,एवम् गच्छति काले ननु एकदा शेरसिंह स्व-ग्रामात् सुदूरम् नगर-अन्तरम् व्यवसाय-चिकीर्षया तत्-व्याजेन गन्तु-काम पित्रा-आदीन,स्व-ग्रामात्,T6,Tatpurusha
महत्-आदरेण,समान-अन्तर-सम्मुख आसने उपविष्ट: एक: प्रौढ: यात्री उत्थाय महत्-आदरेण तम् वृद्धम् स्व-स्थाने निवेशयामास,महत्-आदरेण,K1,Tatpurusha
वृद्ध-पतिम्,प्रमदा इव हि वृद्ध-पतिम् न इच्छति उपगूहितुम् लक्ष्मीः,वृद्ध-पतिम्,K1,Tatpurusha
अस्मत्-कार्यम्,वयस्य कृतम् अस्मत्-कार्यम् गृह्यताम् असिः,अस्मत्-कार्यम्,T6,Tatpurusha
मुष्टि-परिमिता,अहम् तुभ्यम् अस्य मूल्यम् ददामि इति उक्त्वा मुष्टि-परिमिता रजत-मुद्राम् दातुम् इच्छति,मुष्टि-परिमिता,T3,Tatpurusha
उपक्षीण-ओजसां,योगिनम् सुखम् उत्तमम् निरतिशयम् उपैति उपगच्छति शान्त-रजसम् प्रक्षीण-मोह इत्यर्थः ब्रह्मन्-भूतम् जीवन्-मुक्तम् ब्रह्म एव सर्वम्,प्रक्षीण-मोह,K1,Tatpurusha
आगम-अनागमौ,आगम-अपाय इनः न-नित्याः तान् तितिक्षस्व भारत,आगम-अपाय,Di,Dvandva
अति-भारः,समर-शिरसि कश्चित् फल्गुनस्य अति-भारः,अति-भारः,Tp,Tatpurusha
वृक-उदरः,तृतीयः-एषः वृक-उदरः,वृक-उदरः,Bs6,Bahuvrihi
वराह-आदीन्,परिहार-विरुद्धं तु वराह-आदीन् निषेव्य यत्,वराह-आदीन्,Bs6,Bahuvrihi
कमल-आकारम्,भित्तौ चातुर्येण प्रस्तरम् अत्रोटयत् कमल-आकारम् उत्कीर्य छिद्रम् स्व-पुत्रान् प्राह पुत्रा: पूर्वस्मिन्,कमल-आकारम्,Bsu,Bahuvrihi
गुरु-कुल,गुरु-कुल तः स्व-राज्यम् प्रति आगमन-समये यथा भद्रवर्मा,गुरु-कुल,T6,Tatpurusha
हुत-अग्नयः,अग्निष्वात्ताः बर्हिषदः न-अग्नयः स-अग्नयः च ये,स-अग्नयः,BvS,Bahuvrihi
न-शक्यम्,किम् न-शेषतः त्यक्तुम् न-शक्यम् कर्म इति न त्यजेत् किम् वा,न-शक्यम्,Tn,Tatpurusha
स्व-मनसि,प्रह्लादः स्व-मनसि व्यचारयत्-विरोचनः तस्य पुत्रः आसीत् सुधन्वा च,स्व-मनसि,T6,Tatpurusha
वामन-ईश,वराह नरसिंह-ईश वामन-ईश त्रि-विक्रम,वामन-ईश,K2,Tatpurusha
पुण्य-कर्माणः,चतुर्-विधाः चतुर्-प्रकाराः भजन्ते सेवन्ते माम् जनाः सुकृतिनः पुण्य-कर्माणः हे अर्जुन,पुण्य-कर्माणः,Bs6,Bahuvrihi
बुद्धि-योगम्,ददामि बुद्धि-योगम् तम् येन माम् उपयान्ति ते,बुद्धि-योगम्,T3,Tatpurusha
सम्-उत्सुकम्,सा पत्यु: साहाय्यकाय नैजान् प्राणान् अपि सम्-उत्स्रष्टुम् सम्-उत्सुकाम् दृढà¤¼-निश्चयाम् ताम् अवरोद्धुम् कथमपि न अहम्,सम्-उत्सुकाम्,Tp,Tatpurusha
स-अपगमाः,समागमाः स-अपगमाः सर्वम् उत्पादि भङ्गुरम्,स-अपगमाः,BvS,Bahuvrihi
नराः-अमराः,तदा सर्वे गुरु-जनाः अपि तस्याः साहाय्य-अर्थम् न-समर्थाः,न-समर्थाः,Tn,Tatpurusha
प्रति-वचनम्,अतः माता निरन्तरम् तर्जयति चेद् अपि प्रति-वचनम् किम् अपि न वदति स्म सः,प्रति-वचनम्,Tp,Tatpurusha
न-सेवकान्,स्नान-भोजन-अन्तरम्सेवकः च न-सेवकान् अपि अकारयामास स्व-गृहे,न-सेवकान्,Tn,Tatpurusha
वन-दैत्यः,अन्ते वन-दैत्यः प्रस्तर-पट्टम् प्रयच्छन् कथयति पट्टम् एतत् चमत्कार-युक्तम्,वन-दैत्यः,T6,Tatpurusha
द्वि-नेत्रः,अहम् द्वि-नेत्रः न सहस्र-नेत्रः,द्वि-नेत्रः,Bs6,Bahuvrihi
सु-चिरात्,भारते सु-चिरात् प्रचलन्ती सा इयम् भिक्षुक-परम्परा तावद् दृढमूला,सु-चिरात्,Tp,Tatpurusha
वीत-रागः,प्रविशन्ति सम्यक्-दर्शन-प्राप्तौ सत्याम् यत् यतयः यतन-शीलाः संन्यासिनः वीत-रागाः वीतः विगतः रागः येभ्यः ते यतन-शीलाः,वीत-रागाः,Bs5,Bahuvrihi
महा-धनान्,महा-आत्मना तस्य शिष्यत्वं स्वीकृतम्,महा-आत्मना,K1,Tatpurusha
न-परम्,विजयम् पुनः अपि आहूय अवदत् यत् मम न-परम् चित्रम् निर्मीयताम् इति,न-परम्,Tn,Tatpurusha
स-वैभवेन,एव विभाविन्या: ज्येष्ठ-भगिन्या: मञ्जु-भाषिण्याः सु-दूरे मध्य-प्रान्ते स-उत्साहेन स-वैभवेन च परिणयम् अपि व्यधायि तेन,स-वैभवेन,BvS,Bahuvrihi
स-षोडशैः,मनःशिला त्वक् कुटजात् स-कुष्ठात् स-लोमशः स-एडगजः करञ्जः,स-लोमशः,BvS,Bahuvrihi
समाप्त-वचने,तस्य सत्य-वचनेन यशोदा कुपिता जाता,सत्य-वचनेन,T6,Tatpurusha
मध्य-वयस्कः,सः मध्य-वयस्कः,मध्य-वयस्कः,Bs6,Bahuvrihi
सर्व-लोकान्,नमस्ये सर्व-लोकानां जननीम् अब्ज-सम्भवाम्,सर्व-लोकानां,K1,Tatpurusha
यथा-यथम्,श्रीहर्ष: तयोः वाक्यानाम् उच्चारणम् यथा-यथम् अकरोत्,यथा-यथम्,A1,Avyayibhava
